player,team,category,run_rate,bowling_avg
Ferguson,PBKS,tail,400.0,8.608695652173912
Washington Sundar,GT,top_order,156.47058823529412,10.061538461538461
Bumrah,MI,tail,0.0,6.570422535211268
Sandeep Sharma,RR,tail,100.0,9.342465753424658
Anshul Kamboj,CSK,tail,107.6923076923077,7.953488372093023
Karun Nair,DC,openers,163.63636363636365,0.0
Shaik Rasheed,CSK,openers,105.97014925373134,0.0
Josh Inglis,PBKS,top_order,157.06214689265536,0.0
Bartlett,PBKS,tail,73.33333333333333,9.600000000000001
Vaibhav Arora,KKR,tail,0.0,9.71764705882353
Hetmyer,DC,middle,135.35911602209944,0.0
Parag,DC,openers,200.0,0.0
Rahul,RR,top_order,147.96747967479675,0.0
Stubbs,RR,middle,150.73891625615764,20.0
Bhandage,RCB,middle,25.0,0.0
Yash Dayal,RCB,tail,50.0,9.285714285714286
Hazlewood,RCB,tail,0.0,8.636363636363637
Ferreira,DC,middle,33.33333333333333,0.0
Vaibhav Suryavanshi,RR,openers,198.42519685039372,0.0
Ayush Mhatre,CSK,top_order,183.206106870229,0.0
Gurbaz,KKR,openers,134.54545454545453,0.0
Fazalhaq Farooqi,RR,tail,100.0,12.235294117647058
Brevis,CSK,middle,175.78125,0.0
Khaleel Ahmed,CSK,tail,50.0,9.364285714285714
Corbin Bosch,MI,middle,146.875,7.428571428571429
Prince Yadav,LSG,tail,45.45454545454545,9.547445255474454
Digvesh Rathi,LSG,tail,25.0,8.0
Chameera,DC,tail,71.42857142857143,10.866666666666667
Jacob Bethell,RCB,openers,171.7948717948718,0.0
Powell,KKR,middle,83.33333333333334,0.0
Anukul Roy,KKR,tail,0.0,6.5
Varun Chakaravarthy,KKR,tail,100.0,7.5
Akash Madhwal,RR,tail,44.44444444444444,10.333333333333334
Shepherd,RCB,middle,280.0,10.357142857142858
Ks Rathore,RR,top_order,0.0,0.0
Karn Sharma,MI,tail,100.0,8.466666666666667
Gerald Coetzee,GT,middle,154.54545454545453,10.583333333333332
Urvil Patel,CSK,openers,200.0,0.0
Mitchell Owen,PBKS,top_order,0.0,0.0
Kwena Maphaka,RR,tail,266.66666666666663,10.4
Atharva Taide,SRH,openers,118.18181818181819,0.0
Madhav Tiwari,DC,middle,75.0,0.0
Mustafizur,DC,tail,0.0,7.909090909090908
Mayank Agarawal,RCB,top_order,146.15384615384613,0.0
Ngidi,RCB,tail,0.0,10.125
Harpreet Brar,PBKS,tail,84.61538461538461,8.545454545454547
Sediqullah Atal,DC,top_order,137.5,0.0
Siraj,GT,tail,60.0,8.719298245614034
Breetzke,LSG,openers,116.66666666666667,0.0
Musheer Khan,PBKS,middle,0.0,13.5
Jamieson,PBKS,tail,0.0,9.533333333333333
Bairstow,MI,openers,173.46938775510205,0.0
Kusal Mendis,GT,top_order,181.8181818181818,0.0
Raj Bawa,MI,middle,200.0,0.0
Rasikh Salam,RCB,,0.0,11.333333333333332
Suyash Sharma,RCB,,0.0,8.66
Zampa,SRH,,0.0,11.5
Nathan Ellis,CSK,,0.0,9.25
Vignesh Puthur,MI,,0.0,9.0
Mukesh Kumar,DC,,0.0,9.873417721518988
M Siddharth,LSG,,0.0,9.285714285714286
Prasidh,GT,,0.0,8.084745762711865
Chahal,PBKS,,0.0,9.31111111111111
Vijaykumar Vyshak,PBKS,,0.0,9.764705882352942
Pathirana,CSK,,0.0,9.250996015936256
Mujeeb,MI,,0.0,11.5
Ishant,GT,,0.0,10.8
Zeeshan Ansari,SRH,,0.0,9.665024630541872
Ashwani Kumar,MI,,0.0,10.878048780487806
Mukesh Choudhary,CSK,,0.0,11.833333333333334
Yudhvir Singh,RR,,0.0,11.454545454545455
Unadkat,SRH,,0.0,7.216783216783217
Yash Thakur,PBKS,,0.0,11.538461538461538
Khejroliya,GT,,0.0,9.333333333333334
Eshan Malinga,SRH,,0.0,8.7375
Nortje,KKR,,0.0,10.857142857142858
Mitchell Starc,RR,tail,54.54545454545454,9.58371040723982
Sandeep,DC,,0.0,19.5
Rahul Chahar,SRH,,0.0,9.0
Sakariya,KKR,,0.0,12.666666666666668
Mayank Yadav,LSG,,0.0,11.875
Karim Janat,GT,,0.0,30.0
Akash Maharaj Singh,LSG,,0.0,8.865671641791046
T Natarajan,DC,,0.0,16.333333333333336
Harsh Dubey,SRH,,0.0,9.7
William Orourke,LSG,,0.0,12.483870967741936
Praveen Dubey,PBKS,,0.0,10.0
N Thushara,RCB,,0.0,6.0
Richard Gleeson,MI,,0.0,10.857142857142858
Topley,MI,,0.0,13.333333333333334
